Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for bsd-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:36:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(2124376k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2021-03-29T00:05:42.893-0800: 6.235: [GC (CMS Initial Mark) [1 CMS-initial-mark: 0K(3512768K)] 359947K(4126208K), 0.0653690 secs] [Times: user=0.10 sys=0.00, real=0.06 secs] 
2021-03-29T00:05:42.958-0800: 6.301: [CMS-concurrent-mark-start]
2021-03-29T00:05:42.960-0800: 6.302: [CMS-concurrent-mark: 0.001/0.001 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-29T00:05:42.960-0800: 6.302: [CMS-concurrent-preclean-start]
2021-03-29T00:05:42.966-0800: 6.308: [CMS-concurrent-preclean: 0.007/0.007 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:05:42.966-0800: 6.308: [CMS-concurrent-abortable-preclean-start]
2021-03-29T00:05:43.984-0800: 7.326: [GC (Allocation Failure) 2021-03-29T00:05:43.984-0800: 7.326: [ParNew: 545344K->28851K(613440K), 0.0298968 secs] 545344K->28851K(4126208K), 0.0300127 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2021-03-29T00:05:59.651-0800: 22.993: [GC (Allocation Failure) 2021-03-29T00:05:59.651-0800: 22.993: [ParNew: 546039K->744K(613440K), 0.0102313 secs] 568039K->22749K(4126208K), 0.0103656 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:00.525-0800: 23.867: [GC (Allocation Failure) 2021-03-29T00:06:00.525-0800: 23.867: [ParNew: 546088K->802K(613440K), 0.0177235 secs] 568093K->22809K(4126208K), 0.0178652 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:01.393-0800: 24.735: [GC (Allocation Failure) 2021-03-29T00:06:01.393-0800: 24.735: [ParNew: 546146K->903K(613440K), 0.0108525 secs] 568153K->22910K(4126208K), 0.0109735 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:02.212-0800: 25.554: [GC (Allocation Failure) 2021-03-29T00:06:02.212-0800: 25.554: [ParNew: 546247K->690K(613440K), 0.0102603 secs] 568254K->22700K(4126208K), 0.0103986 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:03.046-0800: 26.389: [GC (Allocation Failure) 2021-03-29T00:06:03.046-0800: 26.389: [ParNew: 546034K->402K(613440K), 0.0105269 secs] 568044K->22818K(4126208K), 0.0106558 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:03.848-0800: 27.190: [GC (Allocation Failure) 2021-03-29T00:06:03.848-0800: 27.190: [ParNew: 545739K->177K(613440K), 0.0078898 secs] 568154K->22592K(4126208K), 0.0080218 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:04.621-0800: 27.963: [GC (Allocation Failure) 2021-03-29T00:06:04.621-0800: 27.963: [ParNew: 545521K->118K(613440K), 0.0183879 secs] 567936K->22544K(4126208K), 0.0185119 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:05.384-0800: 28.726: [GC (Allocation Failure) 2021-03-29T00:06:05.384-0800: 28.726: [ParNew: 545462K->120K(613440K), 0.0167930 secs] 567888K->22546K(4126208K), 0.0169283 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:06.160-0800: 29.503: [GC (Allocation Failure) 2021-03-29T00:06:06.160-0800: 29.503: [ParNew: 545464K->122K(613440K), 0.0085419 secs] 567890K->22549K(4126208K), 0.0086836 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-03-29T00:06:06.889-0800: 30.231: [GC (Allocation Failure) 2021-03-29T00:06:06.889-0800: 30.231: [ParNew: 545466K->144K(613440K), 0.0110421 secs] 567893K->22572K(4126208K), 0.0111720 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:07.634-0800: 30.976: [GC (Allocation Failure) 2021-03-29T00:06:07.634-0800: 30.976: [ParNew: 545488K->124K(613440K), 0.0157695 secs] 567916K->22553K(4126208K), 0.0159299 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:08.439-0800: 31.782: [GC (Allocation Failure) 2021-03-29T00:06:08.439-0800: 31.782: [ParNew: 545468K->128K(613440K), 0.0110547 secs] 567897K->22558K(4126208K), 0.0111805 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:09.107-0800: 32.450: [GC (Allocation Failure) 2021-03-29T00:06:09.107-0800: 32.450: [ParNew: 545472K->128K(613440K), 0.0077929 secs] 567902K->22558K(4126208K), 0.0079541 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:09.789-0800: 33.131: [GC (Allocation Failure) 2021-03-29T00:06:09.789-0800: 33.131: [ParNew: 545472K->147K(613440K), 0.0109767 secs] 567902K->22576K(4126208K), 0.0111064 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2021-03-29T00:06:10.496-0800: 33.838: [GC (Allocation Failure) 2021-03-29T00:06:10.496-0800: 33.838: [ParNew: 545491K->101K(613440K), 0.0094529 secs] 567920K->22531K(4126208K), 0.0095701 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:11.187-0800: 34.530: [GC (Allocation Failure) 2021-03-29T00:06:11.188-0800: 34.530: [ParNew: 545445K->107K(613440K), 0.0122243 secs] 567875K->22536K(4126208K), 0.0123421 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:11.937-0800: 35.279: [GC (Allocation Failure) 2021-03-29T00:06:11.937-0800: 35.279: [ParNew: 545451K->129K(613440K), 0.0137228 secs] 567880K->22559K(4126208K), 0.0138657 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:12.642-0800: 35.985: [GC (Allocation Failure) 2021-03-29T00:06:12.642-0800: 35.985: [ParNew: 545473K->155K(613440K), 0.0094508 secs] 567903K->22585K(4126208K), 0.0095811 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2021-03-29T00:06:13.387-0800: 36.729: [GC (Allocation Failure) 2021-03-29T00:06:13.387-0800: 36.729: [ParNew: 545499K->125K(613440K), 0.0135742 secs] 567929K->22556K(4126208K), 0.0136961 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:14.106-0800: 37.449: [GC (Allocation Failure) 2021-03-29T00:06:14.106-0800: 37.449: [ParNew: 545469K->127K(613440K), 0.0085256 secs] 567900K->22559K(4126208K), 0.0086633 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:14.881-0800: 38.223: [GC (Allocation Failure) 2021-03-29T00:06:14.881-0800: 38.223: [ParNew: 545471K->115K(613440K), 0.0184411 secs] 567903K->22547K(4126208K), 0.0185804 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:15.602-0800: 38.945: [GC (Allocation Failure) 2021-03-29T00:06:15.602-0800: 38.945: [ParNew: 545459K->128K(613440K), 0.0087691 secs] 567891K->22559K(4126208K), 0.0088963 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:16.339-0800: 39.682: [GC (Allocation Failure) 2021-03-29T00:06:16.339-0800: 39.682: [ParNew: 545472K->117K(613440K), 0.0102600 secs] 567903K->22549K(4126208K), 0.0103789 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2021-03-29T00:06:16.993-0800: 40.336: [GC (Allocation Failure) 2021-03-29T00:06:16.993-0800: 40.336: [ParNew: 545461K->122K(613440K), 0.0085420 secs] 567893K->22553K(4126208K), 0.0086820 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:17.669-0800: 41.011: [GC (Allocation Failure) 2021-03-29T00:06:17.669-0800: 41.012: [ParNew: 545466K->129K(613440K), 0.0081685 secs] 567897K->22560K(4126208K), 0.0082903 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:18.323-0800: 41.665: [GC (Allocation Failure) 2021-03-29T00:06:18.323-0800: 41.665: [ParNew: 545473K->126K(613440K), 0.0074516 secs] 567904K->22558K(4126208K), 0.0075789 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:18.977-0800: 42.320: [GC (Allocation Failure) 2021-03-29T00:06:18.978-0800: 42.320: [ParNew: 545470K->137K(613440K), 0.0133747 secs] 567902K->22573K(4126208K), 0.0135066 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2021-03-29T00:06:19.644-0800: 42.987: [GC (Allocation Failure) 2021-03-29T00:06:19.644-0800: 42.987: [ParNew: 545481K->144K(613440K), 0.0081282 secs] 567917K->22580K(4126208K), 0.0082552 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:20.299-0800: 43.641: [GC (Allocation Failure) 2021-03-29T00:06:20.299-0800: 43.641: [ParNew: 545488K->110K(613440K), 0.0076040 secs] 567924K->22546K(4126208K), 0.0077332 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:20.945-0800: 44.287: [GC (Allocation Failure) 2021-03-29T00:06:20.945-0800: 44.288: [ParNew: 545454K->138K(613440K), 0.0098795 secs] 567890K->22579K(4126208K), 0.0100057 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:21.604-0800: 44.946: [GC (Allocation Failure) 2021-03-29T00:06:21.604-0800: 44.947: [ParNew: 545482K->121K(613440K), 0.0082830 secs] 567923K->22563K(4126208K), 0.0083870 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:22.246-0800: 45.589: [GC (Allocation Failure) 2021-03-29T00:06:22.246-0800: 45.589: [ParNew: 545465K->139K(613440K), 0.0085243 secs] 567907K->22583K(4126208K), 0.0086485 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:22.920-0800: 46.263: [GC (Allocation Failure) 2021-03-29T00:06:22.920-0800: 46.263: [ParNew: 545483K->132K(613440K), 0.0090679 secs] 567927K->22576K(4126208K), 0.0091784 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:23.543-0800: 46.886: [GC (Allocation Failure) 2021-03-29T00:06:23.543-0800: 46.886: [ParNew: 545476K->109K(613440K), 0.0075557 secs] 567920K->22554K(4126208K), 0.0076772 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:24.832-0800: 48.174: [GC (Allocation Failure) 2021-03-29T00:06:24.832-0800: 48.174: [ParNew: 545453K->163K(613440K), 0.0072161 secs] 567898K->22608K(4126208K), 0.0073567 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-03-29T00:06:25.666-0800: 49.008: [GC (Allocation Failure) 2021-03-29T00:06:25.666-0800: 49.008: [ParNew: 545507K->152K(613440K), 0.0094804 secs] 567952K->22597K(4126208K), 0.0096086 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:26.236-0800: 49.579: [GC (Allocation Failure) 2021-03-29T00:06:26.236-0800: 49.579: [ParNew: 545496K->185K(613440K), 0.0097891 secs] 567941K->22630K(4126208K), 0.0099233 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:27.033-0800: 50.375: [GC (Allocation Failure) 2021-03-29T00:06:27.033-0800: 50.375: [ParNew: 545529K->178K(613440K), 0.0078519 secs] 567974K->22623K(4126208K), 0.0079632 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:27.585-0800: 50.928: [GC (Allocation Failure) 2021-03-29T00:06:27.585-0800: 50.928: [ParNew: 545522K->140K(613440K), 0.0096780 secs] 567967K->22586K(4126208K), 0.0097999 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:28.196-0800: 51.538: [GC (Allocation Failure) 2021-03-29T00:06:28.196-0800: 51.539: [ParNew: 545484K->161K(613440K), 0.0091585 secs] 567930K->22607K(4126208K), 0.0092900 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:28.683-0800: 52.025: [GC (Allocation Failure) 2021-03-29T00:06:28.683-0800: 52.026: [ParNew: 545505K->131K(613440K), 0.0069342 secs] 567951K->22589K(4126208K), 0.0070713 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:29.321-0800: 52.663: [GC (Allocation Failure) 2021-03-29T00:06:29.321-0800: 52.663: [ParNew: 545475K->132K(613440K), 0.0100191 secs] 567933K->22600K(4126208K), 0.0101572 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:29.798-0800: 53.141: [GC (Allocation Failure) 2021-03-29T00:06:29.798-0800: 53.141: [ParNew: 545476K->127K(613440K), 0.0082717 secs] 567944K->22602K(4126208K), 0.0084067 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:30.405-0800: 53.748: [GC (Allocation Failure) 2021-03-29T00:06:30.405-0800: 53.748: [ParNew: 545471K->113K(613440K), 0.0079621 secs] 567946K->22588K(4126208K), 0.0081070 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:30.873-0800: 54.216: [GC (Allocation Failure) 2021-03-29T00:06:30.873-0800: 54.216: [ParNew: 545457K->106K(613440K), 0.0078088 secs] 567932K->22582K(4126208K), 0.0079343 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:31.460-0800: 54.803: [GC (Allocation Failure) 2021-03-29T00:06:31.460-0800: 54.803: [ParNew: 545450K->126K(613440K), 0.0091390 secs] 567926K->22602K(4126208K), 0.0093014 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-03-29T00:06:31.919-0800: 55.262: [GC (Allocation Failure) 2021-03-29T00:06:31.919-0800: 55.262: [ParNew: 545470K->84K(613440K), 0.0080670 secs] 567946K->22560K(4126208K), 0.0082319 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:32.386-0800: 55.729: [GC (Allocation Failure) 2021-03-29T00:06:32.387-0800: 55.729: [ParNew: 545428K->135K(613440K), 0.0093030 secs] 567904K->22611K(4126208K), 0.0094527 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:32.961-0800: 56.304: [GC (Allocation Failure) 2021-03-29T00:06:32.961-0800: 56.304: [ParNew: 545479K->125K(613440K), 0.0088027 secs] 567955K->22601K(4126208K), 0.0089242 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:33.436-0800: 56.778: [GC (Allocation Failure) 2021-03-29T00:06:33.436-0800: 56.778: [ParNew: 545469K->133K(613440K), 0.0101790 secs] 567945K->22609K(4126208K), 0.0103253 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:34.069-0800: 57.411: [GC (Allocation Failure) 2021-03-29T00:06:34.069-0800: 57.411: [ParNew: 545477K->134K(613440K), 0.0079438 secs] 567953K->22610K(4126208K), 0.0080632 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:34.564-0800: 57.906: [GC (Allocation Failure) 2021-03-29T00:06:34.564-0800: 57.906: [ParNew: 545478K->109K(613440K), 0.0110985 secs] 567954K->22586K(4126208K), 0.0112955 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:35.199-0800: 58.541: [GC (Allocation Failure) 2021-03-29T00:06:35.199-0800: 58.541: [ParNew: 545453K->127K(613440K), 0.0096607 secs] 567930K->22603K(4126208K), 0.0097798 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:35.704-0800: 59.046: [GC (Allocation Failure) 2021-03-29T00:06:35.704-0800: 59.046: [ParNew: 545471K->124K(613440K), 0.0084743 secs] 567947K->22600K(4126208K), 0.0086046 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:36.335-0800: 59.678: [GC (Allocation Failure) 2021-03-29T00:06:36.335-0800: 59.678: [ParNew: 545468K->95K(613440K), 0.0073833 secs] 567944K->22571K(4126208K), 0.0075039 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:36.828-0800: 60.170: [GC (Allocation Failure) 2021-03-29T00:06:36.828-0800: 60.170: [ParNew: 545439K->120K(613440K), 0.0077726 secs] 567915K->22596K(4126208K), 0.0078953 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:37.471-0800: 60.814: [GC (Allocation Failure) 2021-03-29T00:06:37.471-0800: 60.814: [ParNew: 545464K->106K(613440K), 0.0081872 secs] 567940K->22582K(4126208K), 0.0083017 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:37.955-0800: 61.298: [GC (Allocation Failure) 2021-03-29T00:06:37.955-0800: 61.298: [ParNew: 545450K->135K(613440K), 0.0110100 secs] 567926K->22611K(4126208K), 0.0111138 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2021-03-29T00:06:38.625-0800: 61.968: [GC (Allocation Failure) 2021-03-29T00:06:38.625-0800: 61.968: [ParNew: 545479K->132K(613440K), 0.0082287 secs] 567955K->22610K(4126208K), 0.0083361 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:39.116-0800: 62.458: [GC (Allocation Failure) 2021-03-29T00:06:39.116-0800: 62.458: [ParNew: 545476K->121K(613440K), 0.0084166 secs] 567954K->22598K(4126208K), 0.0085214 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:39.803-0800: 63.145: [GC (Allocation Failure) 2021-03-29T00:06:39.803-0800: 63.145: [ParNew: 545465K->139K(613440K), 0.0081121 secs] 567942K->22616K(4126208K), 0.0082133 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:40.325-0800: 63.667: [GC (Allocation Failure) 2021-03-29T00:06:40.325-0800: 63.667: [ParNew: 545483K->114K(613440K), 0.0086442 secs] 567960K->22592K(4126208K), 0.0087695 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2021-03-29T00:06:41.104-0800: 64.447: [GC (Allocation Failure) 2021-03-29T00:06:41.104-0800: 64.447: [ParNew: 545458K->111K(613440K), 0.0081119 secs] 567936K->22590K(4126208K), 0.0082217 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2021-03-29T00:06:41.671-0800: 65.014: [GC (Allocation Failure) 2021-03-29T00:06:41.671-0800: 65.014: [ParNew: 545455K->108K(613440K), 0.0095192 secs] 567934K->22587K(4126208K), 0.0096404 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:42.447-0800: 65.789: [GC (Allocation Failure) 2021-03-29T00:06:42.447-0800: 65.789: [ParNew: 545452K->128K(613440K), 0.0084950 secs] 567931K->22607K(4126208K), 0.0085992 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:43.297-0800: 66.640: [GC (Allocation Failure) 2021-03-29T00:06:43.297-0800: 66.640: [ParNew: 545472K->100K(613440K), 0.0085920 secs] 567951K->22579K(4126208K), 0.0087459 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:43.911-0800: 67.254: [GC (Allocation Failure) 2021-03-29T00:06:43.911-0800: 67.254: [ParNew: 545444K->120K(613440K), 0.0084749 secs] 567923K->22599K(4126208K), 0.0085856 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:44.618-0800: 67.961: [GC (Allocation Failure) 2021-03-29T00:06:44.618-0800: 67.961: [ParNew: 545464K->143K(613440K), 0.0085179 secs] 567943K->22622K(4126208K), 0.0086312 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:45.172-0800: 68.514: [GC (Allocation Failure) 2021-03-29T00:06:45.172-0800: 68.514: [ParNew: 545487K->175K(613440K), 0.0082713 secs] 567966K->22659K(4126208K), 0.0083744 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:45.885-0800: 69.227: [GC (Allocation Failure) 2021-03-29T00:06:45.885-0800: 69.227: [ParNew: 545519K->113K(613440K), 0.0076731 secs] 568003K->22598K(4126208K), 0.0077929 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-03-29T00:06:46.420-0800: 69.762: [GC (Allocation Failure) 2021-03-29T00:06:46.420-0800: 69.762: [ParNew: 545457K->112K(613440K), 0.0078129 secs] 567942K->22597K(4126208K), 0.0079249 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2021-03-29T00:06:47.128-0800: 70.470: [GC (Allocation Failure) 2021-03-29T00:06:47.128-0800: 70.470: [ParNew: 545456K->139K(613440K), 0.0078506 secs] 567941K->22625K(4126208K), 0.0079534 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
Heap
 par new generation   total 613440K, used 148165K [0x00000006c0000000, 0x00000006e9990000, 0x00000006e9990000)
  eden space 545344K,  27% used [0x00000006c0000000, 0x00000006c908e940, 0x00000006e1490000)
