Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for bsd-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:36:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(3100780k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-03-29T00:13:40.706-0800: 5.709: [Full GC (Metadata GC Threshold) 2021-03-29T00:13:40.706-0800: 5.709: [Tenured: 0K->13290K(2796224K), 0.0680233 secs] 290819K->13290K(4054528K), [Metaspace: 20530K->20530K(1067008K)], 0.0682431 secs] [Times: user=0.06 sys=0.01, real=0.07 secs] 
2021-03-29T00:14:20.178-0800: 45.181: [Full GC (Metadata GC Threshold) 2021-03-29T00:14:20.178-0800: 45.181: [Tenured: 13290K->32119K(2796224K), 0.1287329 secs] 594933K->32119K(4054528K), [Metaspace: 33812K->33812K(1079296K)], 0.1288522 secs] [Times: user=0.12 sys=0.00, real=0.13 secs] 
2021-03-29T00:14:23.663-0800: 48.666: [GC (Allocation Failure) 2021-03-29T00:14:23.663-0800: 48.666: [DefNew: 1118528K->5689K(1258304K), 0.0110977 secs] 1150647K->37809K(4054528K), 0.0112017 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:42.428-0800: 67.431: [GC (Allocation Failure) 2021-03-29T00:14:42.428-0800: 67.431: [DefNew: 1123589K->5030K(1258304K), 0.0086620 secs] 1155709K->37149K(4054528K), 0.0087792 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:43.651-0800: 68.654: [GC (Allocation Failure) 2021-03-29T00:14:43.651-0800: 68.654: [DefNew: 1123558K->5026K(1258304K), 0.0060265 secs] 1155677K->37146K(4054528K), 0.0061739 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:45.045-0800: 70.048: [GC (Allocation Failure) 2021-03-29T00:14:45.045-0800: 70.048: [DefNew: 1123554K->5033K(1258304K), 0.0075597 secs] 1155674K->37153K(4054528K), 0.0076939 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:46.478-0800: 71.481: [GC (Allocation Failure) 2021-03-29T00:14:46.478-0800: 71.481: [DefNew: 1123561K->5025K(1258304K), 0.0087551 secs] 1155681K->37144K(4054528K), 0.0088773 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:47.809-0800: 72.812: [GC (Allocation Failure) 2021-03-29T00:14:47.822-0800: 72.825: [DefNew: 1123553K->149K(1258304K), 0.0128730 secs] 1155672K->37147K(4054528K), 0.0255856 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2021-03-29T00:14:49.144-0800: 74.147: [GC (Allocation Failure) 2021-03-29T00:14:49.144-0800: 74.147: [DefNew: 1118677K->139K(1258304K), 0.0042438 secs] 1155675K->37175K(4054528K), 0.0043446 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:50.514-0800: 75.517: [GC (Allocation Failure) 2021-03-29T00:14:50.514-0800: 75.517: [DefNew: 1118667K->125K(1258304K), 0.0038082 secs] 1155703K->37164K(4054528K), 0.0039227 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:51.776-0800: 76.779: [GC (Allocation Failure) 2021-03-29T00:14:51.776-0800: 76.779: [DefNew: 1118653K->150K(1258304K), 0.0043749 secs] 1155692K->37195K(4054528K), 0.0045504 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:53.001-0800: 78.004: [GC (Allocation Failure) 2021-03-29T00:14:53.001-0800: 78.004: [DefNew: 1118678K->148K(1258304K), 0.0040706 secs] 1155723K->37195K(4054528K), 0.0041717 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:54.205-0800: 79.208: [GC (Allocation Failure) 2021-03-29T00:14:54.205-0800: 79.208: [DefNew: 1118676K->113K(1258304K), 0.0048026 secs] 1155723K->37161K(4054528K), 0.0049221 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:55.310-0800: 80.313: [GC (Allocation Failure) 2021-03-29T00:14:55.310-0800: 80.313: [DefNew: 1118641K->115K(1258304K), 0.0036822 secs] 1155689K->37164K(4054528K), 0.0037818 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:56.304-0800: 81.307: [GC (Allocation Failure) 2021-03-29T00:14:56.304-0800: 81.307: [DefNew: 1118643K->136K(1258304K), 0.0032172 secs] 1155692K->37185K(4054528K), 0.0033017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:57.291-0800: 82.294: [GC (Allocation Failure) 2021-03-29T00:14:57.291-0800: 82.294: [DefNew: 1118664K->116K(1258304K), 0.0031921 secs] 1155713K->37171K(4054528K), 0.0032918 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:58.315-0800: 83.318: [GC (Allocation Failure) 2021-03-29T00:14:58.315-0800: 83.319: [DefNew: 1118644K->120K(1258304K), 0.0032964 secs] 1155699K->37181K(4054528K), 0.0033991 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:59.254-0800: 84.257: [GC (Allocation Failure) 2021-03-29T00:14:59.254-0800: 84.257: [DefNew: 1118648K->116K(1258304K), 0.0031585 secs] 1155709K->37181K(4054528K), 0.0032654 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:00.196-0800: 85.199: [GC (Allocation Failure) 2021-03-29T00:15:00.196-0800: 85.199: [DefNew: 1118644K->98K(1258304K), 0.0032100 secs] 1155709K->37163K(4054528K), 0.0034246 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:01.183-0800: 86.186: [GC (Allocation Failure) 2021-03-29T00:15:01.183-0800: 86.186: [DefNew: 1118626K->109K(1258304K), 0.0032411 secs] 1155691K->37175K(4054528K), 0.0033407 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:03.664-0800: 88.668: [GC (Allocation Failure) 2021-03-29T00:15:03.665-0800: 88.668: [DefNew: 1118637K->118K(1258304K), 0.0026554 secs] 1155703K->37184K(4054528K), 0.0027379 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:04.501-0800: 89.504: [GC (Allocation Failure) 2021-03-29T00:15:04.501-0800: 89.505: [DefNew: 1118646K->126K(1258304K), 0.0027650 secs] 1155712K->37192K(4054528K), 0.0028595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:05.397-0800: 90.400: [GC (Allocation Failure) 2021-03-29T00:15:05.397-0800: 90.400: [DefNew: 1118654K->131K(1258304K), 0.0030837 secs] 1155720K->37197K(4054528K), 0.0031529 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-03-29T00:15:06.391-0800: 91.394: [GC (Allocation Failure) 2021-03-29T00:15:06.391-0800: 91.394: [DefNew: 1118659K->103K(1258304K), 0.0034560 secs] 1155725K->37169K(4054528K), 0.0035628 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:07.439-0800: 92.442: [GC (Allocation Failure) 2021-03-29T00:15:07.439-0800: 92.443: [DefNew: 1118631K->91K(1258304K), 0.0033821 secs] 1155697K->37175K(4054528K), 0.0035063 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-03-29T00:15:08.480-0800: 93.483: [GC (Allocation Failure) 2021-03-29T00:15:08.480-0800: 93.483: [DefNew: 1118619K->80K(1258304K), 0.0033936 secs] 1155703K->37172K(4054528K), 0.0035730 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:09.469-0800: 94.472: [GC (Allocation Failure) 2021-03-29T00:15:09.469-0800: 94.472: [DefNew: 1118608K->92K(1258304K), 0.0033127 secs] 1155700K->37184K(4054528K), 0.0034056 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-03-29T00:15:10.426-0800: 95.429: [GC (Allocation Failure) 2021-03-29T00:15:10.426-0800: 95.429: [DefNew: 1118620K->98K(1258304K), 0.0030253 secs] 1155712K->37191K(4054528K), 0.0030984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:11.462-0800: 96.466: [GC (Allocation Failure) 2021-03-29T00:15:11.462-0800: 96.466: [DefNew: 1118626K->76K(1258304K), 0.0031512 secs] 1155719K->37172K(4054528K), 0.0032341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:13.951-0800: 98.954: [GC (Allocation Failure) 2021-03-29T00:15:13.951-0800: 98.954: [DefNew: 1118604K->96K(1258304K), 0.0034175 secs] 1155700K->37195K(4054528K), 0.0035134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:14.871-0800: 99.874: [GC (Allocation Failure) 2021-03-29T00:15:14.871-0800: 99.874: [DefNew: 1118624K->71K(1258304K), 0.0026937 secs] 1155723K->37169K(4054528K), 0.0027734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:16.182-0800: 101.185: [GC (Allocation Failure) 2021-03-29T00:15:16.182-0800: 101.186: [DefNew: 1118599K->82K(1258304K), 0.0036303 secs] 1155697K->37181K(4054528K), 0.0037866 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:17.231-0800: 102.234: [GC (Allocation Failure) 2021-03-29T00:15:17.231-0800: 102.234: [DefNew: 1118610K->93K(1258304K), 0.0030516 secs] 1155709K->37192K(4054528K), 0.0031447 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:18.291-0800: 103.294: [GC (Allocation Failure) 2021-03-29T00:15:18.291-0800: 103.294: [DefNew: 1118617K->98K(1258304K), 0.0028863 secs] 1155716K->37198K(4054528K), 0.0029965 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:15:19.290-0800: 104.293: [GC (Allocation Failure) 2021-03-29T00:15:19.290-0800: 104.293: [DefNew: 1118626K->113K(1258304K), 0.0032903 secs] 1155726K->37212K(4054528K), 0.0033965 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
Heap
 def new generation   total 1258304K, used 1069385K [0x00000006c0000000, 0x0000000715550000, 0x0000000715550000)
  eden space 1118528K,  95% used [0x00000006c0000000, 0x0000000701436188, 0x0000000704450000)
  from space 139776K,   0% used [0x000000070ccd0000, 0x000000070ccec5c0, 0x0000000715550000)
  to   space 139776K,   0% used [0x0000000704450000, 0x0000000704450000, 0x000000070ccd0000)
 tenured generation   total 2796224K, used 37099K [0x0000000715550000, 0x00000007c0000000, 0x00000007c0000000)
   the space 2796224K,   1% used [0x0000000715550000, 0x000000071798adc0, 0x000000071798ae00, 0x00000007c0000000)
 Metaspace       used 36726K, capacity 38826K, committed 39128K, reserved 1083392K
  class space    used 4604K, capacity 4954K, committed 5080K, reserved 1048576K
